Number,State,Value,Param batch_size,Param d_ff,Param d_model,Param dropout,Param features,Param learning_rate,Param llm_layers,Param loss,Param lradj,Param n_heads,Param num_tokens,Param patch_len,Param pct_start,Param pred_len,Param seq_len,Param stride,UserAttribute dataset,UserAttribute granularity,UserAttribute target
0,COMPLETE,0.5086805555555556,8,128,32,0.5,S,0.00014010250990165608,10,MSE,type2,2,1000,12,0.30000000000000004,2,36,12,ret_h_4m.csv,hourly,returns
1,COMPLETE,0.484375,8,256,32,0.1,S,0.0015475866835470543,4,GMADL,type1,2,1000,12,0.5,2,24,12,ret_h_4m.csv,hourly,returns
2,COMPLETE,0.513671875,32,128,64,0.0,S,0.0001968731147302566,8,GMADL,constant,2,1000,24,0.2,2,24,6,ret_h_4m.csv,hourly,returns
3,PRUNED,,128,32,48,0.4,S,4.938116671044545e-05,12,GMADL,type1,16,1000,24,0.5,2,36,12,ret_h_4m.csv,hourly,returns
4,COMPLETE,0.5138888888888888,8,256,48,0.2,S,3.030731784239665e-05,6,GMADL,TST,8,1000,12,0.4,2,24,6,ret_h_4m.csv,hourly,returns
5,COMPLETE,0.5277777777777778,16,64,16,0.2,S,0.0006693195967959657,10,MADL,TST,8,100,12,0.1,2,36,6,ret_h_4m.csv,hourly,returns
6,COMPLETE,0.4878472222222222,16,64,64,0.1,S,0.005721445640652421,9,MSE,constant,8,500,12,0.1,2,24,12,ret_h_4m.csv,hourly,returns
7,COMPLETE,0.4965277777777778,16,32,32,0.2,S,0.00024247968617162406,7,MSE,PEMS,2,500,24,0.4,2,48,6,ret_h_4m.csv,hourly,returns
8,PRUNED,,64,32,32,0.30000000000000004,S,0.0001030914301190238,7,MSE,constant,8,100,12,0.30000000000000004,2,48,6,ret_h_4m.csv,hourly,returns
9,COMPLETE,0.5173611111111112,8,256,48,0.2,S,0.0015447666404326973,8,MSE,TST,4,1000,16,0.30000000000000004,2,24,12,ret_h_4m.csv,hourly,returns
10,COMPLETE,0.4913194444444444,16,32,48,0.30000000000000004,S,0.0062205904632473925,11,GMADL,type2,16,1000,24,0.30000000000000004,2,24,6,ret_h_4m.csv,hourly,returns
11,PRUNED,,128,256,48,0.2,S,1.1945606469857507e-05,10,GMADL,type1,2,1000,16,0.2,2,24,12,ret_h_4m.csv,hourly,returns
