Number,State,Value,Param batch_size,Param d_ff,Param d_model,Param dropout,Param features,Param learning_rate,Param llm_layers,Param loss,Param lradj,Param n_heads,Param num_tokens,Param patch_len,Param pct_start,Param pred_len,Param seq_len,Param stride,UserAttribute dataset,UserAttribute granularity,UserAttribute target
0,COMPLETE,0.501953125,32,128,64,0.30000000000000004,MS,1.3364273795209362e-05,12,GMADL,TST,8,100,16,0.5,6,36,12,ret_h_4m.csv,hourly,returns
1,PRUNED,,128,32,48,0.0,M,0.0004949224137430452,12,GMADL,PEMS,16,100,12,0.4,6,24,12,ret_h_4m.csv,hourly,returns
2,COMPLETE,0.49921876937150955,32,64,16,0.2,S,1.2769940155594629e-05,10,MSE,type1,4,500,12,0.2,6,24,12,ret_h_4m.csv,hourly,returns
3,COMPLETE,0.466796875,128,32,64,0.0,MS,0.008716414163498207,4,MADL,type3,16,1000,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
4,COMPLETE,0.5006944504049089,8,256,16,0.30000000000000004,MS,1.9618320650371504e-05,12,GMADL,type1,8,100,16,0.2,6,24,6,ret_h_4m.csv,hourly,returns
5,COMPLETE,0.5034722222222222,8,64,16,0.1,MS,0.0010894222626546609,8,MSE,TST,2,100,16,0.1,2,24,12,ret_h_4m.csv,hourly,returns
6,COMPLETE,0.4980468899011612,32,256,48,0.1,MS,0.0007847617653480762,10,GMADL,constant,2,1000,24,0.30000000000000004,6,24,12,ret_h_4m.csv,hourly,returns
7,COMPLETE,0.5078125,32,64,64,0.1,MS,4.837528778259983e-05,8,MADL,type3,2,100,24,0.1,2,24,12,ret_h_4m.csv,hourly,returns
8,COMPLETE,0.5,16,32,48,0.2,MS,1.9914606778864847e-05,8,MADL,type2,4,100,16,0.2,2,48,6,ret_h_4m.csv,hourly,returns
9,COMPLETE,0.5065972324874666,8,64,16,0.4,S,0.003658614240216619,11,MSE,type3,2,1000,24,0.4,6,48,6,ret_h_4m.csv,hourly,returns
10,PRUNED,,128,32,32,0.5,M,0.009695247339979096,4,MADL,type3,16,1000,16,0.5,2,36,6,ret_h_4m.csv,hourly,returns
11,COMPLETE,0.49609375,64,256,64,0.0,MS,0.00010943233286541376,4,MADL,constant,16,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
12,COMPLETE,0.49609375,64,256,64,0.0,MS,0.00011971310381303106,4,MADL,constant,16,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
13,COMPLETE,0.4921875,64,128,64,0.0,MS,0.0001428353210890982,6,MADL,constant,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
14,COMPLETE,0.50390625,64,128,32,0.0,S,0.00020786575685437413,6,MADL,type2,16,500,12,0.5,2,48,6,ret_h_4m.csv,hourly,returns
15,PRUNED,,128,128,48,0.1,M,0.0022535745869323833,6,MADL,PEMS,16,1000,16,0.5,2,36,6,ret_h_4m.csv,hourly,returns
16,COMPLETE,0.5,16,128,64,0.2,MS,5.079479266260082e-05,6,MADL,constant,16,1000,24,0.30000000000000004,2,24,6,ret_h_4m.csv,hourly,returns
17,COMPLETE,0.501953125,64,32,64,0.0,MS,0.009610226684639997,5,MADL,type3,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
18,PRUNED,,128,128,32,0.1,S,0.00026933147034376344,7,MADL,type3,4,500,16,0.4,2,48,6,ret_h_4m.csv,hourly,returns
19,COMPLETE,0.517578125,64,32,48,0.4,M,0.002346250430945968,5,MSE,constant,8,1000,12,0.30000000000000004,2,36,6,ret_h_4m.csv,hourly,returns
20,PRUNED,,128,128,64,0.0,MS,7.007391770503721e-05,5,MADL,type2,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
21,COMPLETE,0.49609375,64,256,64,0.0,MS,0.000131745124691324,4,MADL,constant,16,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
22,COMPLETE,0.49609375,64,256,64,0.1,MS,0.00042773129273960555,5,MADL,constant,16,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
23,COMPLETE,0.490234375,64,256,48,0.0,MS,0.00011274485432430741,7,MADL,constant,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
24,COMPLETE,0.5078125,64,32,48,0.0,MS,0.00024191408758947037,7,MADL,constant,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
25,COMPLETE,0.5017361111111112,16,32,48,0.1,MS,3.2195682012181796e-05,7,MADL,type1,16,500,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
26,PRUNED,,128,128,32,0.2,MS,0.0007534452162340964,9,MADL,TST,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
27,PRUNED,,64,256,48,0.0,MS,0.00016712136783146226,6,MADL,PEMS,8,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
28,COMPLETE,0.501953125,64,256,64,0.1,S,7.875679643934445e-05,7,GMADL,type3,4,1000,12,0.5,2,48,6,ret_h_4m.csv,hourly,returns
29,PRUNED,,128,128,64,0.30000000000000004,M,0.0051750206821158246,9,MSE,TST,8,500,16,0.5,6,36,12,ret_h_4m.csv,hourly,returns
30,COMPLETE,0.5034722222222222,8,32,64,0.5,MS,0.0012440664199143674,5,GMADL,constant,16,1000,16,0.5,2,36,6,ret_h_4m.csv,hourly,returns
31,COMPLETE,0.49609375,64,256,64,0.0,MS,9.787213054944025e-05,4,MADL,constant,16,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
32,COMPLETE,0.49609375,64,256,64,0.0,MS,0.0003258556666013297,4,MADL,constant,16,1000,24,0.4,2,24,6,ret_h_4m.csv,hourly,returns
33,PRUNED,,64,256,48,0.0,MS,3.986844342394858e-05,6,MADL,constant,16,1000,24,0.5,2,24,6,ret_h_4m.csv,hourly,returns
34,COMPLETE,0.5054687410593033,32,256,64,0.0,MS,0.00042755886288745986,5,MADL,PEMS,16,1000,24,0.4,6,24,12,ret_h_4m.csv,hourly,returns
