Number,State,Value,Param batch_size,Param d_ff,Param d_model,Param dropout,Param features,Param learning_rate,Param llm_layers,Param loss,Param lradj,Param n_heads,Param num_tokens,Param patch_len,Param pct_start,Param pred_len,Param seq_len,Param stride,UserAttribute dataset,UserAttribute granularity,UserAttribute target
0,PRUNED,,32,64,32,0.30000000000000004,M,0.008862411310773822,7,MADL,type3,2,500,12,0.30000000000000004,12,36,12,ret_h_14d.csv,hourly,returns
1,PRUNED,,64,64,32,0.1,MS,9.244060028658107e-05,6,GMADL,type3,4,100,24,0.2,12,36,12,ret_h_14d.csv,hourly,returns
2,FAIL,,16,32,32,0.30000000000000004,S,0.0004502198317361096,9,MADL,type2,16,100,24,0.1,12,48,12,ret_h_14d.csv,hourly,returns
3,PRUNED,,16,64,16,0.1,M,1.1036433556907141e-05,4,GMADL,TST,8,100,24,0.30000000000000004,24,24,6,ret_h_14d.csv,hourly,returns
4,PRUNED,,32,128,48,0.30000000000000004,MS,0.004677509281754279,4,MADL,PEMS,4,100,12,0.30000000000000004,24,48,12,ret_h_14d.csv,hourly,returns
5,RUNNING,,64,32,32,0.5,S,0.00017113878168226255,10,GMADL,type3,2,500,12,0.30000000000000004,12,48,12,ret_h_14d.csv,hourly,returns
6,PRUNED,,64,64,64,0.2,M,6.753694408064573e-05,4,GMADL,TST,4,1000,24,0.4,24,24,6,ret_h_14d.csv,hourly,returns
7,COMPLETE,0.5104166865348816,8,128,64,0.0,M,0.0001388112687638445,9,MADL,PEMS,4,500,16,0.30000000000000004,12,48,12,ret_h_14d.csv,hourly,returns
8,COMPLETE,0.5113224784533182,8,128,64,0.4,S,0.0016109253100423792,8,MSE,PEMS,2,100,16,0.5,24,24,6,ret_h_14d.csv,hourly,returns
9,PRUNED,,64,32,32,0.0,S,1.5979972901300637e-05,5,GMADL,constant,8,100,16,0.4,12,24,12,ret_h_14d.csv,hourly,returns
10,COMPLETE,0.49242424964904785,8,64,16,0.30000000000000004,M,7.367279787850679e-05,11,MSE,type1,16,500,16,0.5,12,48,6,ret_h_14d.csv,hourly,returns
11,PRUNED,,16,128,64,0.2,M,0.00012150565797084657,8,MSE,type2,16,500,16,0.30000000000000004,12,36,6,ret_h_14d.csv,hourly,returns
12,COMPLETE,0.5085227290789286,8,128,64,0.5,S,0.00010240473383101958,9,MADL,PEMS,4,1000,24,0.2,12,36,6,ret_h_14d.csv,hourly,returns
